Date,Inflation Rate
12/31/2020,1.36
1/31/2021,1.4
2/28/2021,1.68
3/31/2021,2.62
4/30/2021,4.16
5/31/2021,4.99
6/30/2021,5.39
7/31/2021,5.37
8/31/2021,5.25
9/30/2021,5.39
10/31/2021,6.22
11/30/2021,6.81
12/31/2021,7.04
1/31/2022,7.48
2/28/2022,7.87
3/31/2022,8.54
4/30/2022,8.26
5/31/2022,8.58
6/30/2022,9.06
7/31/2022,8.52
8/31/2022,8.26
9/30/2022,8.2
10/31/2022,7.75
11/30/2022,7.11
12/31/2022,6.45
1/31/2023,6.41
2/28/2023,6.04
3/31/2023,4.98
4/30/2023,4.93
5/31/2023,4.05
6/30/2023,2.97
7/31/2023,3.18
8/31/2023,3.67
9/30/2023,3.7
10/31/2023,3.24
11/30/2023,3.14
12/31/2023,3.35
1/31/2024,3.09
2/29/2024,3.15
3/31/2024,3.48
4/30/2024,3.36
5/31/2024,3.27
6/30/2024,2.97
