Date,US Unemployment Rate
12/31/2020,6.7
1/31/2021,6.4
2/28/2021,6.2
3/31/2021,6.1
4/30/2021,6.1
5/31/2021,5.8
6/30/2021,5.9
7/31/2021,5.4
8/31/2021,5.1
9/30/2021,4.7
10/31/2021,4.5
11/30/2021,4.1
12/31/2021,3.9
1/31/2022,4.0
2/28/2022,3.8
3/31/2022,3.6
4/30/2022,3.7
5/31/2022,3.6
6/30/2022,3.6
7/31/2022,3.5
8/31/2022,3.6
9/30/2022,3.5
10/31/2022,3.6
11/30/2022,3.6
12/31/2022,3.5
1/31/2023,3.4
2/28/2023,3.6
3/31/2023,3.5
4/30/2023,3.4
5/31/2023,3.7
6/30/2023,3.6
7/31/2023,3.5
8/31/2023,3.8
9/30/2023,3.8
10/31/2023,3.8
11/30/2023,3.7
12/31/2023,3.7
1/31/2024,3.7
2/29/2024,3.9
3/31/2024,3.8
4/30/2024,3.9
5/31/2024,4.0
6/30/2024,4.1
